"year","zone","timePeriod","gender","count"
"2006","S01001792","Calendar Year","All",8
"2012","S01001804","Calendar Year","All",10
"2005","S01001792","Between Mid Points Of Years","All",9
"2010","S01001793","Between Mid Points Of Years","All",7
"2012","S01001805","Calendar Year","All",7
"2005","S01001791","Between Mid Points Of Years","All",4
"2008","S01001809","Between Mid Points Of Years","All",12
"2012","S01001806","Calendar Year","All",3
"2003","S01001801","Between Mid Points Of Years","All",9
"2006","S01001791","Calendar Year","All",6
"2012","S01001807","Calendar Year","All",6
"2011","S01001791","Between Mid Points Of Years","All",7
"2004","S01001790","Calendar Year","All",8
"2012","S01001808","Calendar Year","All",3
"2014","S01001805","Between Mid Points Of Years","All",10
"2013","S01001806","Between Mid Points Of Years","All",1
"2012","S01001809","Calendar Year","All",16
"2005","S01001790","Between Mid Points Of Years","All",7
"2006","S01001790","Calendar Year","All",6
"2002","S01001800","Between Mid Points Of Years","All",11
"2013","S01001807","Calendar Year","All",5
"2005","S01001794","Between Mid Points Of Years","All",7
"2004","S01001803","Calendar Year","All",12
"2013","S01001808","Calendar Year","All",6
"2011","S01001792","Between Mid Points Of Years","All",11
"2007","S01001794","Calendar Year","All",12
"2013","S01001809","Calendar Year","All",15
"2005","S01001795","Between Mid Points Of Years","All",6
"2008","S01001808","Between Mid Points Of Years","All",7
"2003","S01001800","Between Mid Points Of Years","All",14
"2013","S01001793","Between Mid Points Of Years","All",4
"2013","S01001804","Calendar Year","All",15
"2005","S01001796","Between Mid Points Of Years","All",1
"2007","S01001795","Calendar Year","All",3
"2013","S01001805","Calendar Year","All",6
"2011","S01001793","Between Mid Points Of Years","All",13
"2014","S01001796","Between Mid Points Of Years","All",4
"2013","S01001806","Calendar Year","All",1
"2005","S01001797","Between Mid Points Of Years","All",3
"2005","S01001809","Calendar Year","All",15
"2005","S01001798","Between Mid Points Of Years","All",5
"2013","S01001799","Calendar Year","All",13
"2007","S01001796","Calendar Year","All",8
"2011","S01001794","Between Mid Points Of Years","All",3
"2013","S01001798","Calendar Year","All",4
"2008","S01001807","Between Mid Points Of Years","All",9
"2005","S01001799","Between Mid Points Of Years","All",16
"2013","S01001797","Calendar Year","All",10
"2010","S01001802","Between Mid Points Of Years","All",19
"2014","S01001806","Between Mid Points Of Years","All",6
"2013","S01001796","Calendar Year","All",2
"2007","S01001797","Calendar Year","All",6
"2003","S01001799","Between Mid Points Of Years","All",13
"2013","S01001795","Calendar Year","All",10
"2013","S01001805","Between Mid Points Of Years","All",5
"2005","S01001800","Between Mid Points Of Years","All",9
"2013","S01001794","Calendar Year","All",8
"2009","S01001807","Between Mid Points Of Years","All",7
"2011","S01001795","Between Mid Points Of Years","All",4
"2013","S01001790","Calendar Year","All",7
"2005","S01001801","Between Mid Points Of Years","All",2
"2007","S01001798","Calendar Year","All",4
"2013","S01001791","Calendar Year","All",2
"2005","S01001802","Between Mid Points Of Years","All",13
"2008","S01001806","Between Mid Points Of Years","All",4
"2013","S01001792","Calendar Year","All",8
"2011","S01001796","Between Mid Points Of Years","All",5
"2005","S01001808","Calendar Year","All",11
"2013","S01001793","Calendar Year","All",3
"2013","S01001800","Calendar Year","All",8
"2005","S01001803","Between Mid Points Of Years","All",21
"2007","S01001799","Calendar Year","All",12
"2013","S01001801","Calendar Year","All",8
"2003","S01001798","Between Mid Points Of Years","All",4
"2008","S01001805","Between Mid Points Of Years","All",9
"2013","S01001802","Calendar Year","All",14
"2005","S01001804","Between Mid Points Of Years","All",12
"2013","S01001803","Between Mid Points Of Years","All",12
"2013","S01001803","Calendar Year","All",13
"2007","S01001800","Calendar Year","All",9
"2003","S01001807","Calendar Year","All",3
"2011","S01001797","Between Mid Points Of Years","All",4
"2013","S01001804","Between Mid Points Of Years","All",12
"2003","S01001808","Calendar Year","All",3
"2005","S01001805","Between Mid Points Of Years","All",6
"2002","S01001795","Between Mid Points Of Years","All",8
"2003","S01001809","Calendar Year","All",21
"2014","S01001807","Between Mid Points Of Years","All",5
"2007","S01001801","Calendar Year","All",6
"2003","S01001790","Calendar Year","All",4
"2005","S01001806","Between Mid Points Of Years","All",5
"2002","S01001801","Between Mid Points Of Years","All",5
"2003","S01001791","Calendar Year","All",6
"2011","S01001798","Between Mid Points Of Years","All",5
"2005","S01001807","Calendar Year","All",7
"2003","S01001792","Calendar Year","All",3
"2005","S01001807","Between Mid Points Of Years","All",4
"2007","S01001802","Calendar Year","All",11
"2003","S01001793","Calendar Year","All",6
"2003","S01001797","Between Mid Points Of Years","All",5
"2008","S01001804","Between Mid Points Of Years","All",6
"2003","S01001794","Calendar Year","All",11
"2005","S01001808","Between Mid Points Of Years","All",12
"2004","S01001802","Calendar Year","All",13
"2003","S01001795","Calendar Year","All",6
"2011","S01001799","Between Mid Points Of Years","All",14
"2007","S01001803","Calendar Year","All",16
"2003","S01001796","Calendar Year","All",5
"2005","S01001809","Between Mid Points Of Years","All",14
"2008","S01001803","Between Mid Points Of Years","All",14
"2003","S01001797","Calendar Year","All",6
"2004","S01001790","Between Mid Points Of Years","All",5
"2009","S01001808","Between Mid Points Of Years","All",6
"2003","S01001798","Calendar Year","All",2
"2011","S01001800","Between Mid Points Of Years","All",9
"2007","S01001804","Calendar Year","All",4
"2003","S01001799","Calendar Year","All",5
"2004","S01001791","Between Mid Points Of Years","All",3
"2008","S01001802","Between Mid Points Of Years","All",12
"2003","S01001800","Calendar Year","All",9
"2003","S01001796","Between Mid Points Of Years","All",4
"2005","S01001806","Calendar Year","All",6
"2003","S01001801","Calendar Year","All",5
"2004","S01001792","Between Mid Points Of Years","All",5
"2007","S01001805","Calendar Year","All",6
"2003","S01001802","Calendar Year","All",7
"2011","S01001801","Between Mid Points Of Years","All",11
"2013","S01001809","Between Mid Points Of Years","All",16
"2003","S01001803","Calendar Year","All",21
"2014","S01001808","Between Mid Points Of Years","All",8
"2004","S01001807","Calendar Year","All",5
"2003","S01001804","Calendar Year","All",15
"2004","S01001793","Between Mid Points Of Years","All",9
"2007","S01001806","Calendar Year","All",5
"2003","S01001805","Calendar Year","All",4
"2004","S01001794","Between Mid Points Of Years","All",8
"2014","S01001797","Between Mid Points Of Years","All",10
"2003","S01001806","Calendar Year","All",6
"2011","S01001802","Between Mid Points Of Years","All",18
"2014","S01001793","Between Mid Points Of Years","All",4
"2004","S01001795","Between Mid Points Of Years","All",8
"2002","S01001809","Calendar Year","All",10
"2007","S01001807","Calendar Year","All",4
"2003","S01001795","Between Mid Points Of Years","All",6
"2002","S01001808","Calendar Year","All",6
"2008","S01001801","Between Mid Points Of Years","All",9
"2004","S01001796","Between Mid Points Of Years","All",4
"2002","S01001807","Calendar Year","All",5
"2005","S01001805","Calendar Year","All",9
"2011","S01001803","Between Mid Points Of Years","All",13
"2002","S01001806","Calendar Year","All",4
"2007","S01001808","Calendar Year","All",7
"2004","S01001797","Between Mid Points Of Years","All",3
"2002","S01001805","Calendar Year","All",4
"2002","S01001802","Between Mid Points Of Years","All",12
"2004","S01001798","Between Mid Points Of Years","All",6
"2002","S01001804","Calendar Year","All",13
"2010","S01001799","Between Mid Points Of Years","All",12
"2011","S01001804","Between Mid Points Of Years","All",12
"2002","S01001803","Calendar Year","All",20
"2007","S01001809","Calendar Year","All",16
"2004","S01001799","Between Mid Points Of Years","All",10
"2002","S01001802","Calendar Year","All",13
"2008","S01001800","Between Mid Points Of Years","All",8
"2014","S01001809","Between Mid Points Of Years","All",17
"2002","S01001801","Calendar Year","All",9
"2013","S01001792","Between Mid Points Of Years","All",4
"2003","S01001794","Between Mid Points Of Years","All",10
"2002","S01001800","Calendar Year","All",14
"2007","S01001790","Calendar Year","All",5
"2004","S01001800","Between Mid Points Of Years","All",11
"2002","S01001799","Calendar Year","All",16
"2013","S01001808","Between Mid Points Of Years","All",3
"2011","S01001805","Between Mid Points Of Years","All",4
"2002","S01001798","Calendar Year","All",5
"2005","S01001804","Calendar Year","All",11
"2004","S01001801","Between Mid Points Of Years","All",8
"2002","S01001797","Calendar Year","All",4
"2007","S01001791","Calendar Year","All",3
"2004","S01001802","Between Mid Points Of Years","All",12
"2002","S01001796","Calendar Year","All",3
"2008","S01001799","Between Mid Points Of Years","All",16
"2011","S01001806","Between Mid Points Of Years","All",1
"2002","S01001795","Calendar Year","All",11
"2004","S01001801","Calendar Year","All",6
"2004","S01001803","Between Mid Points Of Years","All",15
"2002","S01001794","Calendar Year","All",11
"2007","S01001792","Calendar Year","All",8
"2003","S01001793","Between Mid Points Of Years","All",6
"2002","S01001793","Calendar Year","All",11
"2008","S01001798","Between Mid Points Of Years","All",5
"2004","S01001804","Between Mid Points Of Years","All",17
"2002","S01001792","Calendar Year","All",4
"2009","S01001809","Between Mid Points Of Years","All",25
"2004","S01001805","Between Mid Points Of Years","All",8
"2002","S01001791","Calendar Year","All",2
"2007","S01001793","Calendar Year","All",3
"2010","S01001792","Between Mid Points Of Years","All",7
"2002","S01001790","Calendar Year","All",1
"2001","S01001798","Calendar Year","All",2
"2002","S01001790","Between Mid Points Of Years","All",4
"2008","S01001790","Calendar Year","All",6
"2001","S01001799","Calendar Year","All",15
"2004","S01001806","Between Mid Points Of Years","All",7
"2013","S01001807","Between Mid Points Of Years","All",8
"2001","S01001800","Calendar Year","All",10
"2014","S01001790","Between Mid Points Of Years","All",10
"2005","S01001803","Calendar Year","All",23
"2001","S01001801","Calendar Year","All",6
"2004","S01001807","Between Mid Points Of Years","All",5
"2008","S01001791","Calendar Year","All",3
"2001","S01001802","Calendar Year","All",15
"2010","S01001791","Between Mid Points Of Years","All",4
"2008","S01001797","Between Mid Points Of Years","All",9
"2001","S01001803","Calendar Year","All",22
"2003","S01001792","Between Mid Points Of Years","All",2
"2010","S01001803","Between Mid Points Of Years","All",13
"2001","S01001804","Calendar Year","All",13
"2004","S01001808","Between Mid Points Of Years","All",7
"2008","S01001792","Calendar Year","All",14
"2001","S01001805","Calendar Year","All",5
"2004","S01001809","Between Mid Points Of Years","All",19
"2002","S01001803","Between Mid Points Of Years","All",23
"2001","S01001806","Calendar Year","All",6
"2010","S01001790","Between Mid Points Of Years","All",9
"2013","S01001791","Between Mid Points Of Years","All",1
"2001","S01001807","Calendar Year","All",5
"2010","S01001809","Between Mid Points Of Years","All",27
"2008","S01001793","Calendar Year","All",11
"2001","S01001808","Calendar Year","All",6
"2003","S01001791","Between Mid Points Of Years","All",8
"2008","S01001796","Between Mid Points Of Years","All",5
"2001","S01001809","Calendar Year","All",8
"2010","S01001808","Between Mid Points Of Years","All",2
"2005","S01001802","Calendar Year","All",16
"2001","S01001790","Calendar Year","All",7
"2002","S01001791","Between Mid Points Of Years","All",2
"2008","S01001794","Calendar Year","All",8
"2001","S01001791","Calendar Year","All",4
"2010","S01001807","Between Mid Points Of Years","All",7
"2008","S01001795","Between Mid Points Of Years","All",7
"2001","S01001792","Calendar Year","All",6
"2003","S01001790","Between Mid Points Of Years","All",3
"2010","S01001798","Between Mid Points Of Years","All",6
"2001","S01001793","Calendar Year","All",12
"2010","S01001806","Between Mid Points Of Years","All",3
"2008","S01001795","Calendar Year","All",10
"2001","S01001794","Calendar Year","All",4
"2010","S01001805","Between Mid Points Of Years","All",8
"2012","S01001809","Between Mid Points Of Years","All",19
"2001","S01001795","Calendar Year","All",8
"2003","S01001809","Between Mid Points Of Years","All",17
"2009","S01001790","Between Mid Points Of Years","All",5
"2001","S01001796","Calendar Year","All",5
"2014","S01001791","Between Mid Points Of Years","All",3
"2008","S01001796","Calendar Year","All",1
"2001","S01001797","Calendar Year","All",6
"2010","S01001804","Between Mid Points Of Years","All",7
"2005","S01001801","Calendar Year","All",2
"2002","S01001792","Between Mid Points Of Years","All",7
"2008","S01001797","Calendar Year","All",11
"2014","S01001798","Between Mid Points Of Years","All",6
"2004","S01001800","Calendar Year","All",12
"2008","S01001798","Calendar Year","All",5
"2008","S01001794","Between Mid Points Of Years","All",11
"2002","S01001796","Between Mid Points Of Years","All",5
"2008","S01001799","Calendar Year","All",19
"2008","S01001793","Between Mid Points Of Years","All",9
"2005","S01001800","Calendar Year","All",10
"2008","S01001800","Calendar Year","All",8
"2012","S01001808","Between Mid Points Of Years","All",2
"2010","S01001801","Between Mid Points Of Years","All",6
"2008","S01001801","Calendar Year","All",10
"2002","S01001804","Between Mid Points Of Years","All",11
"2009","S01001791","Between Mid Points Of Years","All",4
"2008","S01001802","Calendar Year","All",13
"2008","S01001792","Between Mid Points Of Years","All",17
"2005","S01001799","Calendar Year","All",15
"2008","S01001803","Calendar Year","All",12
"2008","S01001791","Between Mid Points Of Years","All",2
"2014","S01001792","Between Mid Points Of Years","All",6
"2008","S01001804","Calendar Year","All",6
"2012","S01001807","Between Mid Points Of Years","All",4
"2013","S01001790","Between Mid Points Of Years","All",4
"2008","S01001805","Calendar Year","All",9
"2008","S01001790","Between Mid Points Of Years","All",7
"2005","S01001798","Calendar Year","All",4
"2008","S01001806","Calendar Year","All",2
"2007","S01001793","Between Mid Points Of Years","All",5
"2004","S01001799","Calendar Year","All",17
"2008","S01001807","Calendar Year","All",10
"2007","S01001792","Between Mid Points Of Years","All",5
"2009","S01001792","Between Mid Points Of Years","All",6
"2008","S01001808","Calendar Year","All",3
"2012","S01001806","Between Mid Points Of Years","All",3
"2005","S01001797","Calendar Year","All",4
"2008","S01001809","Calendar Year","All",17
"2002","S01001805","Between Mid Points Of Years","All",4
"2004","S01001806","Calendar Year","All",5
"2009","S01001793","Between Mid Points Of Years","All",9
"2007","S01001791","Between Mid Points Of Years","All",6
"2009","S01001806","Calendar Year","All",4
"2005","S01001796","Calendar Year","All",2
"2014","S01001799","Between Mid Points Of Years","All",14
"2009","S01001805","Calendar Year","All",5
"2013","S01001802","Between Mid Points Of Years","All",11
"2007","S01001790","Between Mid Points Of Years","All",8
"2009","S01001804","Calendar Year","All",11
"2009","S01001794","Between Mid Points Of Years","All",6
"2012","S01001805","Between Mid Points Of Years","All",7
"2009","S01001803","Calendar Year","All",10
"2005","S01001795","Calendar Year","All",8
"2007","S01001809","Between Mid Points Of Years","All",16
"2009","S01001802","Calendar Year","All",22
"2004","S01001798","Calendar Year","All",7
"2007","S01001808","Between Mid Points Of Years","All",4
"2009","S01001801","Calendar Year","All",7
"2014","S01001794","Between Mid Points Of Years","All",8
"2012","S01001804","Between Mid Points Of Years","All",10
"2009","S01001800","Calendar Year","All",16
"2005","S01001794","Calendar Year","All",10
"2002","S01001806","Between Mid Points Of Years","All",5
"2009","S01001799","Calendar Year","All",17
"2003","S01001808","Between Mid Points Of Years","All",2
"2007","S01001807","Between Mid Points Of Years","All",3
"2009","S01001798","Calendar Year","All",5
"2009","S01001795","Between Mid Points Of Years","All",8
"2007","S01001806","Between Mid Points Of Years","All",2
"2009","S01001797","Calendar Year","All",3
"2005","S01001790","Calendar Year","All",5
"2012","S01001803","Between Mid Points Of Years","All",13
"2009","S01001796","Calendar Year","All",3
"2013","S01001794","Between Mid Points Of Years","All",7
"2007","S01001805","Between Mid Points Of Years","All",3
"2009","S01001795","Calendar Year","All",6
"2010","S01001797","Between Mid Points Of Years","All",6
"2014","S01001800","Between Mid Points Of Years","All",12
"2009","S01001794","Calendar Year","All",4
"2005","S01001791","Calendar Year","All",3
"2007","S01001804","Between Mid Points Of Years","All",7
"2009","S01001792","Calendar Year","All",5
"2002","S01001797","Between Mid Points Of Years","All",7
"2012","S01001802","Between Mid Points Of Years","All",18
"2009","S01001791","Calendar Year","All",5
"2004","S01001797","Calendar Year","All",3
"2002","S01001807","Between Mid Points Of Years","All",4
"2009","S01001790","Calendar Year","All",7
"2009","S01001793","Calendar Year","All",8
"2005","S01001792","Calendar Year","All",10
"2007","S01001803","Between Mid Points Of Years","All",16
"2009","S01001796","Between Mid Points Of Years","All",3
"2007","S01001802","Between Mid Points Of Years","All",12
"2009","S01001809","Calendar Year","All",27
"2003","S01001807","Between Mid Points Of Years","All",3
"2012","S01001801","Between Mid Points Of Years","All",7
"2009","S01001808","Calendar Year","All",6
"2005","S01001793","Calendar Year","All",9
"2007","S01001801","Between Mid Points Of Years","All",4
"2009","S01001807","Calendar Year","All",8
"2007","S01001800","Between Mid Points Of Years","All",11
"2010","S01001796","Between Mid Points Of Years","All",4
"2010","S01001794","Calendar Year","All",9
"2012","S01001800","Between Mid Points Of Years","All",10
"2009","S01001797","Between Mid Points Of Years","All",7
"2010","S01001795","Calendar Year","All",3
"2002","S01001808","Between Mid Points Of Years","All",7
"2006","S01001809","Calendar Year","All",15
"2010","S01001796","Calendar Year","All",6
"2007","S01001799","Between Mid Points Of Years","All",10
"2004","S01001796","Calendar Year","All",2
"2010","S01001797","Calendar Year","All",7
"2007","S01001798","Between Mid Points Of Years","All",4
"2013","S01001795","Between Mid Points Of Years","All",9
"2010","S01001798","Calendar Year","All",7
"2012","S01001799","Between Mid Points Of Years","All",10
"2006","S01001808","Calendar Year","All",5
"2010","S01001799","Calendar Year","All",13
"2014","S01001801","Between Mid Points Of Years","All",8
"2004","S01001805","Calendar Year","All",10
"2010","S01001800","Calendar Year","All",11
"2007","S01001797","Between Mid Points Of Years","All",6
"2009","S01001798","Between Mid Points Of Years","All",5
"2010","S01001801","Calendar Year","All",8
"2007","S01001796","Between Mid Points Of Years","All",7
"2006","S01001807","Calendar Year","All",5
"2010","S01001802","Calendar Year","All",15
"2012","S01001798","Between Mid Points Of Years","All",3
"2002","S01001794","Between Mid Points Of Years","All",8
"2010","S01001803","Calendar Year","All",11
"2002","S01001809","Between Mid Points Of Years","All",8
"2009","S01001799","Between Mid Points Of Years","All",20
"2010","S01001804","Calendar Year","All",6
"2007","S01001795","Between Mid Points Of Years","All",7
"2006","S01001806","Calendar Year","All",2
"2010","S01001805","Calendar Year","All",7
"2007","S01001794","Between Mid Points Of Years","All",11
"2004","S01001795","Calendar Year","All",7
"2010","S01001806","Calendar Year","All",1
"2012","S01001797","Between Mid Points Of Years","All",4
"2013","S01001796","Between Mid Points Of Years","All",5
"2010","S01001807","Calendar Year","All",3
"2006","S01001790","Between Mid Points Of Years","All",3
"2006","S01001805","Calendar Year","All",5
"2010","S01001808","Calendar Year","All",2
"2012","S01001796","Between Mid Points Of Years","All",7
"2004","S01001808","Calendar Year","All",10
"2010","S01001809","Calendar Year","All",24
"2006","S01001791","Between Mid Points Of Years","All",4
"2002","S01001798","Between Mid Points Of Years","All",4
"2010","S01001790","Calendar Year","All",10
"2003","S01001806","Between Mid Points Of Years","All",5
"2006","S01001804","Calendar Year","All",8
"2010","S01001791","Calendar Year","All",3
"2006","S01001792","Between Mid Points Of Years","All",9
"2013","S01001801","Between Mid Points Of Years","All",4
"2010","S01001792","Calendar Year","All",9
"2014","S01001802","Between Mid Points Of Years","All",12
"2009","S01001800","Between Mid Points Of Years","All",15
"2010","S01001793","Calendar Year","All",10
"2006","S01001803","Calendar Year","All",20
"2012","S01001795","Between Mid Points Of Years","All",4
"2011","S01001806","Calendar Year","All",2
"2004","S01001794","Calendar Year","All",5
"2006","S01001793","Between Mid Points Of Years","All",9
"2011","S01001805","Calendar Year","All",5
"2009","S01001801","Between Mid Points Of Years","All",8
"2006","S01001794","Between Mid Points Of Years","All",9
"2011","S01001804","Calendar Year","All",13
"2006","S01001802","Calendar Year","All",13
"2012","S01001794","Between Mid Points Of Years","All",12
"2011","S01001803","Calendar Year","All",16
"2010","S01001800","Between Mid Points Of Years","All",12
"2006","S01001795","Between Mid Points Of Years","All",9
"2011","S01001802","Calendar Year","All",19
"2013","S01001797","Between Mid Points Of Years","All",6
"2003","S01001805","Between Mid Points Of Years","All",7
"2011","S01001801","Calendar Year","All",9
"2006","S01001801","Calendar Year","All",6
"2006","S01001796","Between Mid Points Of Years","All",2
"2011","S01001800","Calendar Year","All",10
"2010","S01001795","Between Mid Points Of Years","All",4
"2012","S01001793","Between Mid Points Of Years","All",8
"2011","S01001799","Calendar Year","All",11
"2014","S01001795","Between Mid Points Of Years","All",8
"2006","S01001797","Between Mid Points Of Years","All",5
"2011","S01001798","Calendar Year","All",4
"2006","S01001800","Calendar Year","All",10
"2006","S01001798","Between Mid Points Of Years","All",2
"2011","S01001797","Calendar Year","All",4
"2004","S01001793","Calendar Year","All",12
"2012","S01001792","Between Mid Points Of Years","All",7
"2011","S01001796","Calendar Year","All",6
"2009","S01001802","Between Mid Points Of Years","All",16
"2006","S01001799","Between Mid Points Of Years","All",15
"2011","S01001795","Calendar Year","All",4
"2006","S01001799","Calendar Year","All",12
"2014","S01001803","Between Mid Points Of Years","All",20
"2011","S01001794","Calendar Year","All",5
"2004","S01001804","Calendar Year","All",16
"2003","S01001804","Between Mid Points Of Years","All",12
"2011","S01001793","Calendar Year","All",10
"2009","S01001803","Between Mid Points Of Years","All",9
"2006","S01001800","Between Mid Points Of Years","All",10
"2011","S01001792","Calendar Year","All",10
"2006","S01001798","Calendar Year","All",4
"2012","S01001791","Between Mid Points Of Years","All",5
"2011","S01001791","Calendar Year","All",8
"2010","S01001794","Between Mid Points Of Years","All",8
"2006","S01001801","Between Mid Points Of Years","All",5
"2011","S01001790","Calendar Year","All",7
"2013","S01001798","Between Mid Points Of Years","All",4
"2006","S01001802","Between Mid Points Of Years","All",15
"2011","S01001809","Calendar Year","All",21
"2006","S01001797","Calendar Year","All",5
"2012","S01001790","Between Mid Points Of Years","All",7
"2011","S01001808","Calendar Year","All",2
"2004","S01001792","Calendar Year","All",7
"2006","S01001803","Between Mid Points Of Years","All",18
"2011","S01001807","Calendar Year","All",7
"2012","S01001790","Calendar Year","All",5
"2003","S01001803","Between Mid Points Of Years","All",23
"2002","S01001799","Between Mid Points Of Years","All",14
"2012","S01001791","Calendar Year","All",2
"2006","S01001804","Between Mid Points Of Years","All",11
"2006","S01001796","Calendar Year","All",5
"2012","S01001792","Calendar Year","All",5
"2011","S01001807","Between Mid Points Of Years","All",4
"2004","S01001809","Calendar Year","All",17
"2012","S01001793","Calendar Year","All",7
"2006","S01001805","Between Mid Points Of Years","All",9
"2009","S01001804","Between Mid Points Of Years","All",8
"2012","S01001794","Calendar Year","All",11
"2014","S01001804","Between Mid Points Of Years","All",10
"2006","S01001795","Calendar Year","All",10
"2012","S01001795","Calendar Year","All",5
"2006","S01001806","Between Mid Points Of Years","All",5
"2013","S01001800","Between Mid Points Of Years","All",9
"2012","S01001796","Calendar Year","All",7
"2011","S01001808","Between Mid Points Of Years","All",3
"2009","S01001805","Between Mid Points Of Years","All",8
"2012","S01001797","Calendar Year","All",3
"2006","S01001807","Between Mid Points Of Years","All",8
"2006","S01001794","Calendar Year","All",8
"2012","S01001798","Calendar Year","All",5
"2003","S01001802","Between Mid Points Of Years","All",10
"2004","S01001791","Calendar Year","All",6
"2012","S01001799","Calendar Year","All",11
"2006","S01001808","Between Mid Points Of Years","All",7
"2013","S01001799","Between Mid Points Of Years","All",11
"2012","S01001800","Calendar Year","All",13
"2011","S01001809","Between Mid Points Of Years","All",22
"2006","S01001793","Calendar Year","All",11
"2012","S01001801","Calendar Year","All",5
"2006","S01001809","Between Mid Points Of Years","All",17
"2002","S01001793","Between Mid Points Of Years","All",14
"2012","S01001802","Calendar Year","All",13
"2005","S01001793","Between Mid Points Of Years","All",14
"2009","S01001806","Between Mid Points Of Years","All",3
"2012","S01001803","Calendar Year","All",12
"2011","S01001790","Between Mid Points Of Years","All",6
"2004","S01001809","Calendar Year","Male",9
"2004","S01001808","Calendar Year","Male",5
"2004","S01001807","Calendar Year","Male",3
"2004","S01001806","Calendar Year","Male",3
"2004","S01001805","Calendar Year","Male",6
"2004","S01001804","Calendar Year","Male",11
"2004","S01001803","Calendar Year","Male",8
"2004","S01001802","Calendar Year","Male",9
"2004","S01001801","Calendar Year","Male",2
"2004","S01001800","Calendar Year","Male",5
"2004","S01001799","Calendar Year","Male",10
"2004","S01001798","Calendar Year","Male",6
"2004","S01001797","Calendar Year","Male",1
"2004","S01001796","Calendar Year","Male",0
"2004","S01001795","Calendar Year","Male",2
"2004","S01001794","Calendar Year","Male",2
"2004","S01001793","Calendar Year","Male",5
"2004","S01001792","Calendar Year","Male",5
"2004","S01001791","Calendar Year","Male",4
"2004","S01001790","Calendar Year","Male",3
"2005","S01001809","Calendar Year","Male",7
"2005","S01001808","Calendar Year","Male",8
"2005","S01001807","Calendar Year","Male",4
"2005","S01001806","Calendar Year","Male",5
"2005","S01001805","Calendar Year","Male",2
"2005","S01001804","Calendar Year","Male",7
"2005","S01001803","Calendar Year","Male",11
"2005","S01001802","Calendar Year","Male",9
"2005","S01001801","Calendar Year","Male",1
"2005","S01001800","Calendar Year","Male",3
"2005","S01001799","Calendar Year","Male",5
"2005","S01001798","Calendar Year","Male",1
"2005","S01001797","Calendar Year","Male",3
"2005","S01001796","Calendar Year","Male",0
"2005","S01001795","Calendar Year","Male",5
"2005","S01001794","Calendar Year","Male",7
"2005","S01001793","Calendar Year","Male",5
"2005","S01001790","Calendar Year","Male",2
"2005","S01001791","Calendar Year","Male",3
"2005","S01001792","Calendar Year","Male",8
"2006","S01001809","Calendar Year","Male",8
"2006","S01001808","Calendar Year","Male",2
"2006","S01001807","Calendar Year","Male",3
"2006","S01001806","Calendar Year","Male",1
"2006","S01001805","Calendar Year","Male",3
"2006","S01001804","Calendar Year","Male",5
"2006","S01001803","Calendar Year","Male",11
"2006","S01001802","Calendar Year","Male",4
"2006","S01001801","Calendar Year","Male",2
"2006","S01001800","Calendar Year","Male",9
"2006","S01001799","Calendar Year","Male",5
"2006","S01001798","Calendar Year","Male",3
"2006","S01001797","Calendar Year","Male",3
"2006","S01001796","Calendar Year","Male",3
"2006","S01001795","Calendar Year","Male",3
"2006","S01001794","Calendar Year","Male",3
"2006","S01001793","Calendar Year","Male",5
"2006","S01001792","Calendar Year","Male",4
"2006","S01001791","Calendar Year","Male",0
"2006","S01001790","Calendar Year","Male",4
"2007","S01001793","Calendar Year","Male",1
"2007","S01001794","Calendar Year","Male",8
"2007","S01001795","Calendar Year","Male",0
"2007","S01001796","Calendar Year","Male",3
"2007","S01001797","Calendar Year","Male",0
"2007","S01001798","Calendar Year","Male",3
"2007","S01001799","Calendar Year","Male",7
"2007","S01001800","Calendar Year","Male",5
"2007","S01001801","Calendar Year","Male",4
"2007","S01001802","Calendar Year","Male",3
"2007","S01001803","Calendar Year","Male",8
"2007","S01001804","Calendar Year","Male",2
"2007","S01001805","Calendar Year","Male",2
"2007","S01001806","Calendar Year","Male",3
"2007","S01001807","Calendar Year","Male",3
"2007","S01001808","Calendar Year","Male",3
"2007","S01001809","Calendar Year","Male",9
"2007","S01001790","Calendar Year","Male",4
"2007","S01001791","Calendar Year","Male",1
"2007","S01001792","Calendar Year","Male",3
"2008","S01001790","Calendar Year","Male",5
"2008","S01001791","Calendar Year","Male",2
"2008","S01001792","Calendar Year","Male",4
"2008","S01001793","Calendar Year","Male",5
"2008","S01001794","Calendar Year","Male",5
"2008","S01001795","Calendar Year","Male",7
"2008","S01001796","Calendar Year","Male",1
"2008","S01001797","Calendar Year","Male",7
"2008","S01001798","Calendar Year","Male",2
"2008","S01001799","Calendar Year","Male",13
"2008","S01001800","Calendar Year","Male",5
"2008","S01001801","Calendar Year","Male",5
"2008","S01001802","Calendar Year","Male",7
"2008","S01001803","Calendar Year","Male",3
"2008","S01001804","Calendar Year","Male",2
"2008","S01001805","Calendar Year","Male",6
"2008","S01001806","Calendar Year","Male",1
"2008","S01001807","Calendar Year","Male",6
"2008","S01001808","Calendar Year","Male",3
"2008","S01001809","Calendar Year","Male",8
"2009","S01001806","Calendar Year","Male",3
"2009","S01001805","Calendar Year","Male",2
"2009","S01001804","Calendar Year","Male",7
"2009","S01001803","Calendar Year","Male",7
"2009","S01001802","Calendar Year","Male",9
"2009","S01001801","Calendar Year","Male",3
"2009","S01001800","Calendar Year","Male",5
"2009","S01001799","Calendar Year","Male",6
